idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
no man's land,We crossed our own front trench and traversed the no-man's-land.,We crossed our own front trench and traversed the ground belonging to neither side.,No man's land means the contested unoccupied ground between opposing forces.,We crossed our own front trench and traversed the ground firmly held by our own side.,"No man's land means unclaimed ground between armies, but the sentence describes friendly territory."
no questions asked,The halfway point in the no-questions-asked surrender follows another weekend of violence in Strathclyde.,The halfway point in the surrender with no explanations demanded follows another weekend of violence in Strathclyde.,"No questions asked means accepting something without requiring an account of it, the basis of the surrender scheme.",The halfway point in the surrender with a full interrogation required follows another weekend of violence in Strathclyde.,"No questions asked means demanding no explanation, but the sentence requires a full account."
no rest for the wicked,"Well, I must go, no rest for the wicked.","Well, I must go, my work is never done.",The saying is a wry remark about having no time to rest.,"Well, I must go, my work is entirely finished.","The saying means having no rest, but the sentence describes being free, which would not require leaving."
not give a fig,WOMEN love white weddings — but they don't give a fig about their marriage vows.,WOMEN love white weddings — but they care nothing at all about their marriage vows.,"Not to give a fig means to be entirely indifferent to something, the contrast with loving weddings.",WOMEN love white weddings — but they care intensely about their marriage vows.,"Not to give a fig means total indifference, but the sentence describes deep concern, which removes the contrast."
not know you are born,You lot without families don't know you're born.,You lot without families have no idea how easy you have it.,The idiom means being unaware of how fortunate one's circumstances are.,You lot without families are painfully aware of how hard you have it.,"The idiom means being ignorant of your good fortune, but the sentence describes acute awareness of hardship."
not miss a trick,"When it comes to promotion, the Disney people don't miss a trick.","When it comes to promotion, the Disney people overlook no opportunity whatever.","Not to miss a trick means to take advantage of every possible opportunity, which describes Disney's promotion.","When it comes to promotion, the Disney people overlook most opportunities available.","Not to miss a trick means seizing every opportunity, but the sentence describes missing many."
nothing to it,"The knack, the trick: there turns out to be nothing to it.","The knack, the trick: there turns out to be no difficulty at all.","Nothing to it means something is far easier than expected, which is the discovery described.","The knack, the trick: there turns out to be enormous difficulty.","Nothing to it means being very easy, but the sentence describes great difficulty."
now or never,He hadn't touched the black box alarm so it was now or never.,He hadn't touched the black box alarm so this was the last possible chance.,"Now or never means this is the only remaining opportunity, which the untouched alarm creates.",He hadn't touched the black box alarm so there would be endless chances later.,"Now or never means a final opportunity, but the sentence describes unlimited future chances."
off and on,and he'd been a Liverpool councillor off and on for over fifty years.,and he'd been a Liverpool councillor intermittently for over fifty years.,"Off and on means happening at intervals rather than continuously, describing his service.",and he'd been a Liverpool councillor without a single break for over fifty years.,"Off and on means intermittently, but the sentence describes unbroken continuity."
old hat,"Walsh sneered at such suggestions as 'traditional left', old-hat and boring.","Walsh sneered at such suggestions as 'traditional left', outdated and boring.","Old hat means tediously out of date, which is the sneering dismissal.","Walsh sneered at such suggestions as 'traditional left', strikingly novel and boring.","Old hat means outdated, but the sentence calls the ideas new, which conflicts with the sneer."
on board,North Sea oil came on board and suddenly we had a product which people wanted to buy.,North Sea oil became available and suddenly we had a product which people wanted to buy.,"To come on board means to join or become part of something, describing the arrival of North Sea oil.",North Sea oil was permanently withdrawn and suddenly we had a product which people wanted to buy.,"To come on board means joining or arriving, but the sentence describes removal, which would leave nothing to sell."
on someone's mind,Let Lucy say for herself what was on her mind.,Let Lucy say for herself what she was preoccupied with.,"To be on someone's mind means to occupy their thoughts, which Lucy is invited to explain.",Let Lucy say for herself what she had entirely forgotten.,"To be on someone's mind means occupying their thoughts, but the sentence asks about what she cannot recall."
on tenterhooks,"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks.","Louis was reconstituting the royal family, keeping his adult sons in anxious suspense.","On tenterhooks means being kept in a state of nervous waiting, the effect on his sons.","Louis was reconstituting the royal family, keeping his adult sons in relaxed certainty.","On tenterhooks means anxious suspense, but the sentence describes calm assurance."
on the back burner,I think we're going to need to put this project on the back burner for a little while.,I think we're going to need to set this project aside for later for a little while.,To put something on the back burner means to postpone it in favour of more pressing work.,I think we're going to need to make this project our top priority for a little while.,"The idiom means postponing something, but the sentence describes prioritising it."
on the back of,"After all, power and influence are built on the back of economic success.","After all, power and influence are built upon the foundation of economic success.","On the back of means resting upon something as its basis, describing how power derives from wealth.","After all, power and influence are built in spite of economic success.","On the back of means built upon something, but the sentence makes economic success an obstacle instead."
on the ball,Phew it's lucky I'm on the ball isn't it?,Phew it's lucky I'm alert and quick-witted isn't it?,"On the ball means being attentive and quick to respond, which the speaker credits themselves with.",Phew it's lucky I'm slow and inattentive isn't it?,"On the ball means being alert, but the sentence describes inattention, which would not be lucky."
on the blink,No sooner does one learn to avoid one station than another goes on the blink.,No sooner does one learn to avoid one station than another stops working properly.,"To go on the blink means to malfunction, which keeps happening to the stations.",No sooner does one learn to avoid one station than another starts working perfectly.,"To go on the blink means to malfunction, but the sentence describes something starting to work."
on the button,And of course Lucille was right on the button.,And of course Lucille was exactly correct.,On the button means precisely right.,And of course Lucille was completely mistaken.,"On the button means being exactly right, but the sentence says she was wrong."
on the cards,Staff who'd long feared redundancies were on the cards hear the news at meetings today.,Staff who'd long feared redundancies were likely to happen hear the news at meetings today.,"On the cards means probable or expected, describing the feared redundancies.",Staff who'd long feared redundancies were entirely impossible hear the news at meetings today.,"On the cards means likely to happen, but the sentence rules it out, which would give nothing to fear."
on the carpet,He was caught cheating on the exam and got called on the carpet.,He was caught cheating on the exam and got summoned for a reprimand.,"To be called on the carpet means to be summoned and rebuked by someone in authority, the consequence of cheating.",He was caught cheating on the exam and got summoned for congratulations.,"To be called on the carpet means being reprimanded, but the sentence describes praise."
on the dot,I was to be at the harbour at 8 a.m. on the dot.,I was to be at the harbour at 8 a.m. precisely.,"On the dot means at exactly the stated time, specifying the arrival.",I was to be at the harbour at 8 a.m. approximately.,"On the dot means exactly on time, but the sentence allows approximation."
on the double,Already the Fists were disembarking on the double.,Already the Fists were disembarking at top speed.,On the double means moving as quickly as possible.,Already the Fists were disembarking at a leisurely crawl.,"On the double means moving fast, but the sentence describes slowness."
on the face of it,"On the face of it, leys are ideally suited to a statistical approach.","At first appearance, leys are ideally suited to a statistical approach.","On the face of it means judging by initial appearances, which usually signals a qualification to follow.","After exhaustive investigation, leys are ideally suited to a statistical approach.","On the face of it means a surface impression, but the sentence claims a fully considered conclusion."
on the fiddle,"MORE and more company bosses are on the fiddle in the recession, a new report reveals.","MORE and more company bosses are engaged in petty fraud in the recession, a new report reveals.","On the fiddle means dishonestly obtaining money, the behaviour the report identifies.","MORE and more company bosses are scrupulously honest in the recession, a new report reveals.","On the fiddle means being dishonest, but the sentence describes integrity."
on the fly,"Indexation of sentences is not yet executed on-the-fly, only every week.","Indexation of sentences is not yet executed automatically as things happen, only every week.","On the fly means done immediately in the course of other activity, contrasted with the weekly batch.","Indexation of sentences is not yet executed after long scheduled delays, only every week.","On the fly means happening immediately, but the sentence describes delay, which removes the contrast with weekly."
on the game,"She must be on the game, all right.","She must be working as a prostitute, all right.",On the game means engaged in prostitution.,"She must be working in a respectable office job, all right.","The idiom refers to prostitution, but the sentence substitutes conventional employment."
on the hoof,They had to make policy on the hoof and they reprieved that place.,They had to make policy hastily as they went along and they reprieved that place.,"On the hoof means done hurriedly without proper preparation, describing how the policy was made.",They had to make policy after long careful deliberation and they reprieved that place.,"On the hoof means improvised in haste, but the sentence describes lengthy planning."
on the hop,Sorry about the mess but you caught me on the hop like.,Sorry about the mess but you caught me unprepared like.,"To catch someone on the hop means to arrive when they are not ready, which explains the mess.",Sorry about the mess but you caught me fully prepared like.,"On the hop means being caught unprepared, but the sentence describes readiness, which would not explain the mess."
on the horns of a dilemma,The Labour party is utterly impaled on the horns of a dilemma from which it can not escape.,The Labour party is utterly trapped between two equally bad choices from which it can not escape.,"On the horns of a dilemma means being forced to choose between two unwelcome options, hence the inability to escape.",The Labour party is utterly presented with two equally attractive choices from which it can not escape.,"On the horns of a dilemma means facing two bad options, but the sentence describes appealing ones."
on the house,She's going to model for us so she gets grub on the house.,She's going to model for us so she gets grub free of charge.,"On the house means provided without payment, the arrangement in return for modelling.",She's going to model for us so she gets grub at full price.,"On the house means provided free, but the sentence describes her paying, which would not be a reward."
on the lam,"Because I'm on the lam, make it after dark.","Because I'm in hiding from the authorities, make it after dark.","On the lam means fleeing or hiding from pursuit, which explains meeting after dark.","Because I'm entirely free of any pursuit, make it after dark.","On the lam means being pursued and hiding, but the sentence removes the danger that requires darkness."
on the make,"Put at its baldest, Jackie was a young man on the make.","Put at its baldest, Jackie was a young man aggressively seeking his own advancement.","On the make means single-mindedly pursuing personal gain, the blunt characterisation of Jackie.","Put at its baldest, Jackie was a young man entirely without ambition.","On the make means pursuing personal gain, but the sentence describes having no ambition."
on the mend,"Brimming with official funds, Greece was apparently on the mend.","Brimming with official funds, Greece was apparently recovering.","On the mend means improving after a bad period, which the funding appeared to bring about.","Brimming with official funds, Greece was apparently deteriorating fast.","On the mend means recovering, but the sentence describes worsening despite the funds."
on the money,I don't drink and don't go out much so I manage on the money.,I don't drink and don't go out much so I manage on the amount I have.,Here the phrase is used plainly to mean managing within the available funds.,I don't drink and don't go out much so I manage without any funds at all.,"The phrase refers to living on the money available, but the sentence describes having none."
on the nod,Firstly the bill can go through on the nod with no note.,Firstly the bill can go through by general agreement without debate with no note.,"On the nod means approved without discussion or a formal vote, which is how the bill passes.",Firstly the bill can go through after lengthy contested debate with no note.,"On the nod means passing without debate, but the sentence describes prolonged argument."
on the rebound,You could say it was on the rebound but I had no reason to regret it.,You could say it was soon after an earlier relationship ended but I had no reason to regret it.,"On the rebound means entering a new relationship shortly after another has ended, the possible criticism acknowledged.",You could say it was after many peaceful years alone but I had no reason to regret it.,"On the rebound means acting soon after a breakup, but the sentence describes a long gap, which invites no criticism."
on the rocks,"He was a good soldier, but his marriage was on the rocks.","He was a good soldier, but his marriage was close to breaking down.","On the rocks means in serious difficulty and likely to fail, describing the marriage.","He was a good soldier, but his marriage was thriving splendidly.","On the rocks means near collapse, but the sentence describes a happy marriage, which removes the contrast."
on the ropes,Anderson has Kelly on the ropes with the telephone chat-up technique he started on radio.,Anderson has Kelly in serious trouble with the telephone chat-up technique he started on radio.,"On the ropes means being in a losing, defensive position, which Anderson has forced on Kelly.",Anderson has Kelly in a commanding position with the telephone chat-up technique he started on radio.,"On the ropes means being in trouble, but the sentence puts Kelly in control."
on the run,Number One: Are you on the run from the law?,Number One: Are you fleeing to escape the law?,"On the run means escaping and evading capture, which the question asks about.",Number One: Are you working closely alongside the law?,"On the run means evading capture, but the sentence describes cooperation with authorities."
on the same page,It's important for parents to be on the same page when it comes to disciplining their children.,It's important for parents to be in agreement when it comes to disciplining their children.,"To be on the same page means to share the same understanding or position, which discipline requires.",It's important for parents to be in complete disagreement when it comes to disciplining their children.,"On the same page means being in agreement, but the sentence recommends conflict."
on the same wavelength,"Or C, take it as a real compliment and you are on the same wavelength?","Or C, take it as a real compliment and you understand each other instinctively?","On the same wavelength means naturally understanding one another, which the compliment implies.","Or C, take it as a real compliment and you constantly misunderstand each other?","On the same wavelength means mutual understanding, but the sentence describes confusion, which would not be a compliment."
on the shelf,She felt on the shelf and a burden to her parents.,"She felt passed over and unlikely ever to marry, and a burden to her parents.","On the shelf means being regarded as past the age of marrying, which explains feeling a burden.",She felt eagerly sought after by suitors and a burden to her parents.,"On the shelf means being passed over, but the sentence describes popularity, which would not feel burdensome."
on the side of the angels,Don't get involved in corruption even if it's on the side of the angels.,Don't get involved in corruption even if it's in a morally good cause.,"On the side of the angels means acting for what is morally right, the possible justification being ruled out.",Don't get involved in corruption even if it's in a thoroughly wicked cause.,"On the side of the angels means being on the side of good, but the sentence describes an evil cause, removing the concession."
on the skids,And saved: The ice rink that had been on the skids.,And saved: The ice rink that had been heading for collapse.,"On the skids means in rapid decline towards failure, the condition the rink was rescued from.",And saved: The ice rink that had been thriving comfortably.,"On the skids means heading for failure, but the sentence describes success, which needs no saving."
on the spur of the moment,You can not rely on the right questions coming to you on the spur of the moment.,You can not rely on the right questions coming to you without any advance thought.,"On the spur of the moment means acting suddenly without preparation, which the advice warns against relying on.",You can not rely on the right questions coming to you after careful preparation.,"On the spur of the moment means acting without preparation, but the sentence dismisses preparation, reversing the advice."
on the stump,"On the stump in the Tory marginals during the election campaign, her enthusiasm was infectious.","Out campaigning in the Tory marginals during the election campaign, her enthusiasm was infectious.",On the stump means actively campaigning in public for election.,"Withdrawn from public view in the Tory marginals during the election campaign, her enthusiasm was infectious.","On the stump means public campaigning, but the sentence describes staying out of sight."
on the take,"I knew he was on the take, but I never had enough evidence to show Hamilton.","I knew he was accepting bribes, but I never had enough evidence to show Hamilton.","On the take means accepting corrupt payments, which required evidence to prove.","I knew he was refusing all bribes, but I never had enough evidence to show Hamilton.","On the take means taking bribes, but the sentence describes honesty, which would need no evidence."
on the trot,I mean she'll be out two days on the trot.,I mean she'll be out two days in a row.,"On the trot means consecutively one after another, describing the two days.",I mean she'll be out two days many months apart.,"On the trot means consecutive, but the sentence separates the days widely."
on the up and up,"All in all, it can only mean that tea time is on the up and up.","All in all, it can only mean that tea time is steadily improving.","On the up and up means getting progressively better, the conclusion drawn about tea time.","All in all, it can only mean that tea time is steadily declining.","On the up and up means improving, but the sentence describes decline."
on thin ice,It had been granted grudgingly and she knew she was on thin ice as far as her superiors were concerned.,It had been granted grudgingly and she knew she was in a precarious position as far as her superiors were concerned.,On thin ice means being in a risky position where a mistake would be costly.,It had been granted grudgingly and she knew she was in an entirely secure position as far as her superiors were concerned.,"The idiom means being precarious, but the sentence describes security, which 'grudgingly' contradicts."
on top of the world,I felt on top of the world and couldn't believe the heat.,I felt absolutely elated and couldn't believe the heat.,"On top of the world means feeling extremely happy, describing the speaker's mood.",I felt utterly wretched and couldn't believe the heat.,"On top of the world means feeling elated, but the sentence describes misery."
on your high horse,Don't get on your high horse with me.,Don't take a morally superior tone with me.,To get on your high horse means to behave self-righteously.,Don't take a humbly apologetic tone with me.,"The idiom means acting superior, but the sentence describes humility."
once and for all,"Therefore, the Commission should address the issue once and for all.","Therefore, the Commission should address the issue conclusively and finally.","Once and for all means settling something permanently so it need not be revisited, the recommended approach.","Therefore, the Commission should address the issue provisionally and repeatedly.","Once and for all means settling something permanently, but the sentence describes a temporary and recurring approach."
once in a blue moon,"Things obviously, like herbs and stuff Steve only orders once in a blue moon.","Things obviously, like herbs and stuff Steve only orders extremely rarely.","Once in a blue moon means very infrequently, describing how seldom Steve orders those items.","Things obviously, like herbs and stuff Steve only orders several times each day.","Once in a blue moon means very rarely, but the sentence describes frequent ordering."
once in a while,I could have done with a bit of support from you once in a while.,I could have done with a bit of support from you occasionally.,"Once in a while means from time to time, the modest frequency the speaker would have settled for.",I could have done with a bit of support from you at every waking moment.,"Once in a while means occasionally, but the sentence demands constant support, which overstates the complaint."
one and the same,This is because the two properties may coexist in one and the same expression.,This is because the two properties may coexist in a single identical expression.,"One and the same means being identical rather than two separate things, which allows the coexistence.",This is because the two properties may coexist in two entirely distinct expressions.,"One and the same means a single identical thing, but the sentence describes two separate ones."
one for the road,One for the road — we road test a GRiD laptop in the US.,A final one before setting off — we road test a GRiD laptop in the US.,"One for the road means a last item taken before departing, used here as a pun on road testing.",The very first one before setting off — we road test a GRiD laptop in the US.,"One for the road means a final item before leaving, but the sentence makes it the first."
one good turn deserves another,"One good turn deserves another, I said.","A kindness should be repaid with a kindness, I said.",The saying means a favour received warrants a favour in return.,"A kindness should be repaid with an injury, I said.","The saying means repaying kindness with kindness, but the sentence advocates harm."
one in the eye for,It was one in the eye for the old order.,It was a humiliating setback for the old order.,"One in the eye for someone means a defeat that discomfits them, which the old order suffered.",It was a gratifying triumph for the old order.,"One in the eye means a setback for someone, but the sentence describes their victory."
one of those days,I knew this was going to happen it's going to be one of those days.,I knew this was going to happen it's going to be a day when everything goes wrong.,"One of those days means a day on which things repeatedly go badly, anticipated by the speaker.",I knew this was going to happen it's going to be a day when everything goes perfectly.,"One of those days means a day of things going wrong, but the sentence describes everything succeeding."
one of those things,The first thing to say is that this is one of those things that can disappoint us.,The first thing to say is that this is an unavoidable misfortune that can disappoint us.,One of those things means something regrettable that simply happens and cannot be helped.,The first thing to say is that this is a carefully engineered outcome that can disappoint us.,"One of those things means an unavoidable happening, but the sentence describes something deliberately caused."
one over the eight,"Mister, don't you try getting me one over the eight.","Mister, don't you try getting me slightly drunk.",One over the eight means having drunk a little too much.,"Mister, don't you try getting me completely sober.","The idiom means being slightly drunk, but the sentence describes sobriety."
one-horse race,"It was a jibe that nearly became a prophecy, though Cambridge were left with more of a one-horse race.","It was a jibe that nearly became a prophecy, though Cambridge were left with more of a contest with only one real contender.",A one-horse race means a competition where only one participant has any chance.,"It was a jibe that nearly became a prophecy, though Cambridge were left with more of a contest between many equal contenders.","The idiom means a foregone conclusion, but the sentence describes an open field."
only time will tell,Only time will tell whether it can hold its place in this competitive field.,Only future events will reveal whether it can hold its place in this competitive field.,"Only time will tell means the answer cannot be known until later, which applies to its prospects.",Present evidence already reveals whether it can hold its place in this competitive field.,"Only time will tell means the outcome is not yet knowable, but the sentence claims it is already clear."
open someone's eyes,"This gripping novel opens our eyes to another world, yet its themes are ones we all know.","This gripping novel makes us aware of another world, yet its themes are ones we all know.","To open someone's eyes means to make them newly aware of something, which the novel does.","This gripping novel keeps us ignorant of another world, yet its themes are ones we all know.","To open someone's eyes means creating awareness, but the sentence describes concealment."
open the floodgates,The case could open the floodgates for thousands of similar claims worldwide.,The case could release an overwhelming rush of thousands of similar claims worldwide.,"To open the floodgates means to remove a barrier and let a flood of something through, which the case might do for claims.",The case could firmly block off thousands of similar claims worldwide.,"To open the floodgates means releasing a flood, but the sentence describes preventing one."
out and about,My officers find it frustrating to see the same persistent thieves out and about.,My officers find it frustrating to see the same persistent thieves moving freely in public.,"Out and about means going around in public rather than confined, the source of the officers' frustration.",My officers find it frustrating to see the same persistent thieves securely locked away.,"Out and about means being at liberty in public, but the sentence describes imprisonment, which would not frustrate officers."
out cold,He stood outside the door and cried and then went and drank until he was out cold.,He stood outside the door and cried and then went and drank until he was completely unconscious.,"Out cold means being entirely insensible, the state reached through drinking.",He stood outside the door and cried and then went and drank until he was completely alert.,"Out cold means unconscious, but the sentence describes heightened alertness."
out of kilter,Perhaps the swing sends the blood rushing to his brain and it gets over-enriched and out of kilter.,Perhaps the swing sends the blood rushing to his brain and it gets over-enriched and thrown out of balance.,"Out of kilter means no longer properly balanced or aligned, describing the effect on the brain.",Perhaps the swing sends the blood rushing to his brain and it gets over-enriched and perfectly balanced.,"Out of kilter means being unbalanced, but the sentence describes correct balance."
out of order,That's why you I think you're well out of order.,That's why you I think you're behaving quite unacceptably.,"Out of order means behaving in a way that is unacceptable, the accusation being made.",That's why you I think you're behaving entirely properly.,"Out of order means unacceptable behaviour, but the sentence describes correct conduct."
out of pocket,"So they're not out of pocket, they don't have to keep two homes going.","So they're not financially worse off, they don't have to keep two homes going.","Out of pocket means having lost money on something, which they avoid by not running two homes.","So they're not financially better off, they don't have to keep two homes going.","Out of pocket means losing money, but the sentence turns it into a gain, reversing the logic."
out of sight,He saw it drop out of sight below the lip.,He saw it drop beyond his view below the lip.,"Out of sight means no longer visible, describing the object vanishing below the edge.",He saw it drop into full view below the lip.,"Out of sight means no longer visible, but the sentence describes it becoming clearly seen."
out of sorts,Everyday life takes a nebulous turn Wednesday and everything looks so out of sorts.,Everyday life takes a nebulous turn Wednesday and everything looks so unsettled and wrong.,"Out of sorts means slightly unwell or not right, matching the nebulous turn described.",Everyday life takes a nebulous turn Wednesday and everything looks so settled and correct.,"Out of sorts means being unsettled, but the sentence describes everything as normal, which conflicts with the nebulous turn."
out of the blue,That same week he told Maggie out of the blue that he wanted to see her alone.,That same week he told Maggie completely unexpectedly that he wanted to see her alone.,"Out of the blue means happening without warning, describing how the announcement came.",That same week he told Maggie exactly as she had anticipated that he wanted to see her alone.,"Out of the blue means unexpected, but the sentence describes something foreseen."
out of the loop,I've been out of the loop for a while.,I've been excluded from the flow of information for a while.,"Out of the loop means no longer receiving relevant information, the speaker's admission.",I've been fully briefed on everything for a while.,"Out of the loop means being uninformed, but the sentence describes being well informed."
out of the picture,He thought he could mindblast her as simply as he had put Tunney out of the picture.,He thought he could mindblast her as simply as he had removed Tunney from involvement.,"Out of the picture means no longer part of a situation, which is what he did to Tunney.",He thought he could mindblast her as simply as he had brought Tunney into involvement.,"Out of the picture means being removed from a situation, but the sentence describes bringing someone in."
out of the question,A continuation of Krabbe's suspension now looks out of the question.,A continuation of Krabbe's suspension now looks entirely impossible.,"Out of the question means not even worth considering as a possibility, which applies to the suspension.",A continuation of Krabbe's suspension now looks entirely certain.,"Out of the question means impossible, but the sentence describes it as guaranteed."
out of the woods,He'd most likely be out of the wood by now.,He'd most likely be clear of danger by now.,"Out of the woods means past the worst of a difficulty, the likely state assumed.",He'd most likely be deep in danger by now.,"Out of the woods means being past danger, but the sentence places him in the middle of it."
out of thin air,You didn't just pluck those adjectives out of thin air.,You didn't just invent those adjectives from nothing.,"Out of thin air means produced from nothing without basis, which the speaker denies happened.",You didn't just derive those adjectives from solid evidence.,"Out of thin air means invented without basis, but the sentence describes well-grounded derivation, reversing the point."
out of this world,"Well, the place was just a dream … completely out of this world.","Well, the place was just a dream … absolutely extraordinary.","Out of this world means exceptionally good, matching the description of the place as a dream.","Well, the place was just a dream … utterly ordinary.","Out of this world means extraordinary, but the sentence describes something unremarkable."
out of whack,"For some reason, asset prices get way out of whack and rise to unsustainable levels.","For some reason, asset prices get badly out of proper alignment and rise to unsustainable levels.","Out of whack means no longer in a correct or balanced state, describing distorted prices.","For some reason, asset prices get precisely into proper alignment and rise to unsustainable levels.","Out of whack means being misaligned, but the sentence describes correct alignment, which would not be unsustainable."
out of your mind,"You can't … you're out of your mind with fever, she stammered wildly.","You can't … you're not thinking rationally with fever, she stammered wildly.","To be out of your mind means to be unable to think clearly, here because of illness.","You can't … you're thinking with perfect clarity with fever, she stammered wildly.","The idiom means being unable to think clearly, but the sentence describes lucidity."
out on a limb,"It was about ninety pounds and he went out on a limb for it, too.","It was about ninety pounds and he took a risky exposed position for it, too.","To go out on a limb means to take a risk without support, which the purchase involved.","It was about ninety pounds and he took a completely safe position for it, too.","Out on a limb means taking a risk, but the sentence describes safety."
over my dead body,"'Over my dead body', said Mr Robshaw, and hurriedly called a public meeting.","'Only if I am powerless to prevent it', said Mr Robshaw, and hurriedly called a public meeting.","Over my dead body expresses absolute refusal to allow something, explaining the urgent meeting.","'I shall raise no objection at all', said Mr Robshaw, and hurriedly called a public meeting.","The phrase means absolute opposition, but the sentence describes acceptance, which no meeting would follow."
over the counter,The market in question is the over-the-counter market.,The market in question is the one traded directly between parties rather than on an exchange.,Over the counter describes trading conducted directly rather than through a formal exchange.,The market in question is the one traded exclusively on a formal central exchange.,"Over the counter means trading off-exchange, but the sentence describes exchange trading."
over the hill,"No it's it, she was a bit over the hill for it I'm afraid.","No it's it, she was a bit past her prime for it I'm afraid.","Over the hill means being too old for something, the reason given.","No it's it, she was a bit too youthful for it I'm afraid.","Over the hill means being past your prime, but the sentence says she was too young."
over the moon,"While this could be wonderful, you are unlikely to feel over-the-moon about it all.","While this could be wonderful, you are unlikely to feel absolutely delighted about it all.","Over the moon means extremely pleased, the reaction thought unlikely.","While this could be wonderful, you are unlikely to feel utterly miserable about it all.","Over the moon means being delighted, but the sentence describes misery, which conflicts with 'wonderful'."
over the top,he can be funny but sometimes he just goes over the top.,he can be funny but sometimes he just takes it to excess.,"Over the top means going too far beyond what is appropriate, the criticism qualifying the praise.",he can be funny but sometimes he just holds himself carefully in check.,"Over the top means going too far, but the sentence describes restraint, which would not be a criticism."
over your head,It washes over your head without making you sit up and take notice.,It passes beyond your understanding without making you sit up and take notice.,"To go over your head means to be beyond someone's comprehension, which explains the lack of reaction.",It lands squarely within your understanding without making you sit up and take notice.,"Over your head means beyond comprehension, but the sentence describes it being clearly grasped."
pack a punch,"Switzerland may be small, but it packs a powerful sightseeing punch.","Switzerland may be small, but it delivers a powerful sightseeing impact.","To pack a punch means to have a strong effect despite appearances, the contrast with being small.","Switzerland may be small, but it delivers a feeble sightseeing impact.","To pack a punch means having a strong effect, but the sentence describes weakness, which removes the contrast."
packed like sardines,Vaguely she wondered who had coined the phrase packed like sardines.,Vaguely she wondered who had coined the phrase crammed tightly together.,Packed like sardines means squeezed together with no space.,Vaguely she wondered who had coined the phrase spread comfortably apart.,"The idiom means being crammed together, but the sentence describes ample space."
paint the town red,Tonight we're going to paint the town red.,Tonight we're going to celebrate wildly around town.,To paint the town red means to go out and enjoy yourself boisterously.,Tonight we're going to stay quietly indoors.,"The idiom means going out celebrating, but the sentence describes staying home."
paper over the cracks,"When there isn't enough time, you find yourself papering over the cracks and making stopgap decisions.","When there isn't enough time, you find yourself concealing problems without fixing them and making stopgap decisions.","To paper over the cracks means to hide faults rather than repair them, matching the stopgaps.","When there isn't enough time, you find yourself repairing problems thoroughly and making stopgap decisions.","The idiom means concealing rather than fixing, but the sentence describes proper repair, which stopgaps contradict."
part company,"With the murder Raskolnikov erupts into the full glare of the actual, and parts company with his predecessor.","With the murder Raskolnikov erupts into the full glare of the actual, and separates from his predecessor.","To part company means to go separate ways or diverge, which the murder causes.","With the murder Raskolnikov erupts into the full glare of the actual, and merges completely with his predecessor.","To part company means diverging, but the sentence describes becoming identical."
part of the furniture,Somehow at that moment he was very far from being just part of the furniture.,Somehow at that moment he was very far from being just an unnoticed fixture.,"Part of the furniture means someone so familiar they go unnoticed, which he conspicuously was not.",Somehow at that moment he was very far from being just a startling novelty.,"Part of the furniture means being unnoticed through familiarity, but the sentence describes being conspicuous, which reverses the point."
party animal,"These were Clione, and I came to think of them as the party animals, always feasting and fighting and mating.","These were Clione, and I came to think of them as the relentless revellers, always feasting and fighting and mating.","A party animal means someone devoted to lively socialising, applied here to the creatures.","These were Clione, and I came to think of them as the solitary recluses, always feasting and fighting and mating.","A party animal means a devoted reveller, but the sentence describes solitude, which the feasting contradicts."
pass muster,"Critically surveying her reflection, she told herself she would pass muster.","Critically surveying her reflection, she told herself she would meet the required standard.","To pass muster means to be judged acceptable, her verdict on her appearance.","Critically surveying her reflection, she told herself she would fall well below the required standard.","To pass muster means being acceptable, but the sentence describes failing the standard."
pass the buck,Everyone was passing the buck — no one would actually express to John what their feelings were.,Everyone was shifting responsibility to someone else — no one would actually express to John what their feelings were.,"To pass the buck means to avoid responsibility by transferring it, which explains why no one spoke to John.",Everyone was firmly accepting responsibility themselves — no one would actually express to John what their feelings were.,"To pass the buck means avoiding responsibility, but the sentence describes accepting it, which would not prevent anyone speaking."
pay through the nose,They run over cross-country courses and pay through the nose for it.,They run over cross-country courses and pay an excessive amount for it.,"To pay through the nose means to pay far more than something is worth, describing the cost.",They run over cross-country courses and pay a trivial amount for it.,"To pay through the nose means paying excessively, but the sentence describes it being cheap."
pearly whites,They recommend at least three minutes brushing twice a day to keep your teeth looking pearly white.,They recommend at least three minutes brushing twice a day to keep your teeth looking brilliantly white.,"Pearly whites refers to bright white teeth, which the brushing is meant to preserve.",They recommend at least three minutes brushing twice a day to keep your teeth looking deeply stained.,"Pearly whites means brilliantly white teeth, but the sentence describes discoloration, which brushing would prevent."
pecking order,Some individuals manage to intimidate all their companions and rise to the top of the peck-order.,Some individuals manage to intimidate all their companions and rise to the top of the social hierarchy.,"A pecking order is a ranking of status within a group, which the intimidation allows them to climb.",Some individuals manage to intimidate all their companions and rise to the top of a group with no ranking at all.,"A pecking order means a status hierarchy, but the sentence describes a group without one, leaving nothing to rise through."
peed off,Yeah oh I think he's just peed off with his father.,Yeah oh I think he's just thoroughly annoyed with his father.,"Peed off means irritated and resentful, describing his feeling towards his father.",Yeah oh I think he's just thoroughly delighted with his father.,"Peed off means being annoyed, but the sentence describes pleasure."
