idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
cross swords,"""I'd be ready to cross swords with him,"" Falkyr said, a bit disturbed.","""I'd be ready to fight or argue with him,"" Falkyr said, a bit disturbed.","To cross swords means to fight or argue, which is what Falkyr said he was prepared to do.","""I'd be ready to be at peace with him,"" Falkyr said, a bit disturbed.","To cross swords means to fight or argue, but in this sentence Falkyr said he was prepared for peace"
two a penny,"At first, they were quite novel and interesting, but now these little organic cafés have become two a penny.","At first, they were quite novel and interesting, but now these little organic cafés have become very ordinary and commonplace.","To be two a penny means to be very common, ordinary, or widespread, which is what the cafés have become.","At first, they were quite novel and interesting, but now these little organic cafés have become extremely rare and uncommon.","To be two a penny means to be very common, ordinary, or widespread, but in this context the cafés have become extremely rare and uncommon."
to boot,He's her stepfather and someone to boot.,He's her stepfather and an awful human being.,"To boot means as well, and in this context the stepfather is also an awful human being.",He's her stepfather and he's a great human being.,"To boot means as well, but in this context the stepfather is a great human being."
put your heads together,"I said, put your heads together and come up with some plans.","I said, work together collaboratively and come up with some plans.","To put your heads together means to work together to come up with an idea or solution, which is what the speaker is asking them to do.","I said, work independently and come up with some plans.","To put your heads together means to work together to come up with an idea or solution, but in this context they are being asked to work independently"
off the mark,Kyle's latest throw was off the mark.,Kyle's latest throw was far from accurate.,"To be off the mark means to be inaccurate or wrong, and in this context Kyle's latest throw was neither accurate nor on target.",Kyle's latest throw was right on target and very accurate.,"To be off the mark means to be inaccurate or wrong, but in this context Kyle's latest throw was both accurate and on target."
under the weather,"He's been a bit under the weather the last few days, susan said.","He's been a bit sick the last few days, Susan said.","To be under the weather is to be mildly ill, so Susan is saying that he's been sick recently.","He's been healthy and fit the last few days, Susan said.","To be under the weather is to be mildly ill, but Susan is saying that he's been healthy recently"
go out of business,"If you don't balance your budget in business, you go out of business.","If you don't balance your budget in business, you will not be doing commerce or business.","To go out of business means to stop doing commerce or business, so if you don't balance your budget you will not be doing commerce or business.","If you don't balance your budget in business, you will be doing commerce or business.","To go out of business means to stop doing commerce or business, but if you don't balance your budget you will be doing commerce or business."
not just a pretty face,"I'm not just a pretty face, he claimed with a wink.",He winked as a way of saying that he was not just a good-looking person but also had other great qualities.,"Not just a pretty face means to have other great qualities beyond what was assumed, and the wink in this context is a way of saying that he does have other great qualities.",He winked as a way of saying that he was just a good-looking person and didn't have any other great qualities.,"Not just a pretty face means to have other great qualities beyond what was assumed, but the wink in this context is a way of saying that he doesn't have any other great qualities"
gather dust,His memory slipped away from most who had grieved; legacy left to gather dust.,His memory slipped away from most who had grieved; legacy left to become forgotten and unused.,"To gather dust means to be unused or forgotten, and in this sentence the legacy is being left to become forgotten.",His memory slipped away from most who had grieved; legacy left to become remembered and used.,"To gather dust means to be unused or forgotten, but in this sentence the legacy is being left to become remembered and used"
go native,Either they go native and forget their former lives or they can be used to produce new faerie children.,Either they adopt the behavior attitudes or characteristics of the people of a different culture in which one now lives or they can be used to produce new faerie children.,"To go native means to adopt the behavior attitudes or characteristics of the people of a different culture in which one now lives, which is what the first option entails.",Either they reject the behavior attitudes or characteristics of the people of a different culture in which one now lives or they can be used to produce new faerie children.,"To go native means to adopt the behavior attitudes or characteristics of the people of a different culture in which one now lives, but the sentence describes rejecting those behaviors instead"
go places,He could go places.,He could progress and find success in some area of his life.,"To go places means to progress or find success in some area of one's life, which is what he could do.",He could not progress or find success in any area of his life.,"To go places means to progress or find success in some area of one's life, but this sentence states that he could not do so"
shrinking violet,So women in medieval times were far from shrinking violets.,So women in medieval times were far from being very shy and submissive.,"A shrinking violet is a very shy person, so the entailment is that women in medieval times were far from being very shy.",So women in medieval times were far from being very confident and assertive.,"A shrinking violet is a very shy person, but the contradiction is that women in medieval times were far from being very confident."
back to the drawing board,"I guess we 'll have to go back to the drawing board,Martha said","I guess we'll have to start from the beginning again, Martha said.","To go back to the drawing board means to start from the beginning again, which is what Martha is saying they have to do.","I guess we'll have to continue with our current plan, Martha said.","To go back to the drawing board means to start from the beginning again, but in this sentence Martha says they will continue with their current plan."
foot the bill,It was obvious the firm would foot the bill for the settlement.,It was obvious the firm would pay for the settlement.,"To foot the bill means to pay for something, so it was obvious the firm would pay for the settlement.",It was obvious the firm would not pay for the settlement.,"To foot the bill means to pay for something, but in this sentence it was obvious the firm would not pay for the settlement."
off the beaten track,"I finally agreed to go to the bahamas, but I wanted to get off the beaten track.","I finally agreed to go to the bahamas, but I wanted to get away from the commonly traveled routes and explore","To be off the beaten track means to be away from commonly traveled routes, so in this context the speaker wants to explore and go to little known areas.","I finally agreed to go to the bahamas, but I wanted to stay on the well-traveled routes and not explore.","To be off the beaten track means to be away from commonly traveled routes, but the speaker in this context wants to stay on well-traveled routes."
full of the joys of spring,You seem full of the joys of spring.,You seem extremely happy and full of energy.,"To be full of the joys of spring means to be very happy and lively, which is how the person in the sentence seems.",You seem unhappy and apathetic.,"To be full of the joys of spring means to be very happy and lively, but the person in the sentence seems unhappy and apathetic."
run out of gas,"Dylan hadnt remotely run out of gas, and my latest escapade was only the tip of the iceberg where his temper was concerned.","Dylan hadnt remotely lost his energy or motivation or enthusiasm to continue, and my latest escapade was only the tip of the iceberg where his temper was concerned.","To run out of gas means to lose one's energy or motivation to continue, and in this context Dylan had not remotely lost any of his energy or motivation.","Dylan hadn't remotely gained any energy or motivation or enthusiasm to continue, and my latest escapade was only the tip of the iceberg where his temper was concerned.","To run out of gas means to lose one's energy or motivation to continue, but in this context Dylan had not remotely gained any energy or motivation."
go to ground,"But the soldiers attacked after the sun had risen, when carpathians are at their most vulnerable, when they need to go to ground.","But the soldiers attacked after the sun had risen, when carpathians are at their most vulnerable, when they need to hide away and escape.","To go to ground means to hide away, which is what they need to do when they are vulnerable and being chased.","But the soldiers attacked after the sun had risen, when carpathians are at their most vulnerable, when they need to stay out in the open and not hide.","To go to ground means to hide away, but in this context they need to stay out in the open"
run riot,So I let my imagination run riot with my heart.,So I let my imagination get out of control with my heart.,"To let something run riot means to let it get out of control, which is what happened with his imagination.",So I kept my imagination completely under control with my heart.,"To let something run riot means to let it get out of control, but in this context his imagination remained completely under control."
odds and ends,"Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.","Lance deals mostly in coke, but he dabbles in a few other small unimportant items, too.","To dabble in odds and ends means to deal in small miscellaneous items, which is what Lance is doing.","Lance deals mostly in coke, but he dabbles in a few other  significant and valuable items, too.","To dabble in odds and ends means to deal in small miscellaneous items, but the context describes Lance dealing in significant and valuable items"
moment of truth,So this was it moment of truth.,"So this was it , the time when the event that will have a major impact and consequence will occur.","The moment of truth is the moment or point at which some critical and decisive event action or test will occur, which is what is happening in this context.",The time when the event that will have no impact and consequence will occur.,"The moment of truth is the moment or point at which some critical and decisive event action or test will occur, but this context describes a situation where there is no impact or consequence"
full tilt,"And with that I scrambled after fink, who was heading full tilt for the nearest tavern.","And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.","And with that I scrambled after fink, who was heading slower than a snail for the nearest tavern.","To go full tilt means to go as fast as possible, but in this sentence fink was heading slower than a snail"
run the gamut,She has run the gamut from blinding rage - rage so potent that it has eaten her from inside out.,She has experienced the entire range from blinding rage - rage so potent that it has eaten her from inside out.,"To run the gamut means to cover or extend across a wide and varied range, and in this context she has experienced the entire range of emotions from blinding rage.",She has not experienced any of the range from blinding rage - rage so potent that it has eaten her from inside out.,"To run the gamut means to cover or extend across a wide and varied range, but in this context she has not experienced any of the emotions in the range"
up the spout,"By the time the report of the rifle reached the group, the second bullet was already up the spout.","By the time the news of the rifle reached the group, the second bullet was already gone and wasted.","When something is up the spout, it is no longer working or useful, in this context, the second bullet is no longer useful because it has already been fired.","By the time the news of the rifle reached the group, the second bullet was already put to good use.","When something is up the spout, it is no longer working or useful, in this context, the second bullet is put to good use."
short and sweet,"But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.","But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.","But still, hearing it all poured out so lengthily and unsatisfactorily when so much was on the line was dizzying.","To be short and sweet is to be brief while still being satisfying or to the point, but in this context the person is pouring out their feelings lengthily and unsatisfactorily."
not bat an eye,He hired the kind of people who would not bat an eyelash at the slimy schemes.,He hired the kind of people who would not display even a hint of an emotional response such as consternation at the slimy schemes.,"To not bat any eye means to not display any sort of emotional response, which is what the people he hired would do at the slimy schemes.",He hired the kind of people who would constantly display their emotional responses such as consternation at the slimy schemes.,"The idiom means to not display any sort of emotional response, but the context describes people who would constantly display their emotional responses"
go to your head,"Well, don't let them go to your head.","Well, don't let the compliments and success get to you.","When an accomplishment goes to your head, it means it causes you to become arrogant.","Well, don't let the compliments and success make you feel humble and modest.","When an accomplishment goes to your head, it means it causes you to become arrogant, but in this context the compliments and success make the person feel humble and modest."
under the rose,Attendees understood that whatever was said under the rose - or sub rosa - had to remain a secret.,Attendees understood that whatever was said privately or confidentially - or sub rosa - had to remain a secret.,"To say something under the rose means to say it privately or confidentially, and in this context it is implied that whatever is said in secret must remain a secret.",Attendees understood that whatever was said publicly or openly - or sub rosa - had to remain a secret.,"To say something under the rose means to say it privately or confidentially, but in this context it is implied that whatever is said publicly must remain a secret."
not cricket,"That's not cricket, mate.","That's not fair, mate.","Not cricket means it isn't fair, and in this context  the speaker's mate is not being fair.","That's very fair and legitimate, mate.","Not cricket means it isn't fair, but in this context the speaker's mate is playing fair."
change hands,"But with the chance that money or assets were about to change hands, forrest would be there looking for crumbs and leftovers.","But with the chance that money or assets were about to be transferred, forrest would be there looking for crumbs and leftovers.","To change hands means to pass from one owner to another, and in this sentence money or assets are about to be transferred.","But with the chance that money or assets were about to forever remain where they are, forrest would be there looking for crumbs and leftovers.","To change hands means to pass from one owner to another, but in this sentence money or assets are not going to be transferred."
slap on the wrist,"Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.","Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.","Everything had been going alright, he was even going to get away with a severe punishment or warning, but then m's.","A slap on the wrist is a very mild inconsequential punishment or warning, but in this context he was going to get away with a severe punishment or warning"
under the influence,"He loved me tremendously, passionately, and yet, while under the influence of that terrible fruit, he had harmed me.","He loved me tremendously, passionately, and yet, while intoxicated by that terrible fruit, he had harmed me.","To be under the influence typically means to be intoxicated, and in this context the character is intoxicated by a terrible fruit.","He loved me tremendously, passionately, and yet, while sober by that terrible fruit, he had harmed me.","To be under the influence typically means to be intoxicated, but in this context the character is sober"
make good,"You vote for one of the others, and I 'll make good on my promise.","You vote for one of the others, and I'll succeed in my promise.",To make good on a promise means to succeed or complete it.,"You vote for one of the others, and I'll fail in my promise.","To make good on a promise means to succeed or complete it, but this context describes failing to do so"
give up the ghost,My experienced ear could tell right away that it was the compressor getting ready to give up the ghost again...,My experienced ear could tell right away that it was the compressor getting ready to fail and stop working again.,"To give up the ghost means to stop working, which is what the compressor is doing in this sentence.",My experienced ear could tell right away that it was the compressor getting ready to start working again.,"To give up the ghost means to stop working, but in this sentence the compressor is getting ready to start working again."
nail it,I 'll expect you to nail it on the first try.,I'll expect you to succeed at something in a particularly impressive way on the first try.,"To nail it means to succeed at something in a particularly impressive way, which is what is expected in this context.",I'll expect you to fail miserably at something on the first try.,"To nail it means to succeed at something in a particularly impressive way, but the context describes expecting someone to fail"
cut from the same cloth,"No strings, just you and me, two birds cut from the same cloth, wrestling it out.","No strings, just you and me, two people very similar to each other, wrestling it out.","To be cut from the same cloth means to be very similar in characteristics or behaviors, so the two people in this sentence are very similar to each other.","No strings, just you and me, two people not at all similar to each other, wrestling it out.","To be cut from the same cloth means to be very similar in characteristics or behaviors, but in this sentence the two people are not at all similar to each other"
at your fingertips,A scholarship kid feels like the whole world is at your fingertips.,A scholarship kid feels like the whole world is easily accessed and achieved.,"The idiom at your fingertips means that something is easily or conveniently accessed or achieved, which is how the scholarship kid feels about the world.",A scholarship kid feels like the whole world is hard to access and not easily achieved.,"The idiom at your fingertips means that something is easily or conveniently accessed or achieved, but in this sentence the scholarship kid feels that the world is hard to access and not easily achieved"
slap and tickle,How about a little more slap and tickle?,How about a little more flirting and playful touching?,"To slap and tickle means to engage in physical amorous play, which is described by flirting and playful touching.",How about a little more serious discussion and no touching?,"To slap and tickle means to engage in physical amorous play, but this context describes serious discussion with no touching"
not a pretty sight,"But everyone has the same, a slumping rotting figure and no sign of life, not a pretty sight.","But everyone has the same, a slumping rotting figure and no sign of life, its unfortunate and very unpleasant.","Not a pretty sight means it's very unpleasant and undesirable, which is what the context is describing.","But everyone has the same, a slumping rotting figure and no sign of life, extremely pleasant and desirable","Not a pretty sight means it's very unpleasant and undesirable, but the context is describing it as being pleasant and desirable."
bring the house down,I thought the crowd might bring the house down if the boys didn't go back out there.,I thought the crowd might applaud uproariously for an extended period of time if the boys didn't go back out there.,"To bring the house down means to perform so successfully as to cause the audience to erupt in applause or cheers for a long time, which is what the crowd would do if the boys went back out.",I thought the crowd might not applaud or show any enthusiasm at all if the boys didn't go back out there.,"To bring the house down means to perform so successfully as to cause the audience to erupt in applause or cheers for a long time, but in this sentence the crowd would not show any enthusiasm"
back to square one,It looked like he was back to square one.,He looked like he was back at the beginning.,"To be back at square one is to be back at the beginning, so it looks like he's starting over from the beginning.",He looked like he was already ahead.,"To be back at square one is to be back at the beginning, but this sentence suggests he's already ahead"
spread the word,spread the word.,make the information known to as many people as possible.,To spread the word means to disseminate a specific piece of information to as many people as possible.,keep the information a secret and only share it with a few people.,"To spread the word means to disseminate a specific piece of information, but in this context the speaker wants to keep the information a secret."
go it alone,Then you can't think you're gon na go it alone.,Then you can't think you're gonna do this by yourself without any help.,"To go it alone means to do something without others' help, which is what the person in this sentence is trying to do.",Then you can't think you're gonna have others do this for you while you sit back and relax.,"To go it alone means to do something without others' help, but in this sentence the person is trying to have others do the work for them."
when push comes to shove,The colonial union is already making decisions about what colonies it can afford to lose when push comes to shove.,The colonial union is already making decisions about what colonies it can afford to lose if the situation turns for the worse and desperate measures are needed.,"When push comes to shove means if the situation deteriorates or becomes desperate, and in this context the colonial union is making decisions based on that possibility.",The colonial union is already making decisions about what colonies it can afford to lose if the situation turns for the better and no drastic measures are needed.,"When push comes to shove means if the situation deteriorates or becomes desperate, but in this context the situation is improving"
two a penny,"Coincidences were two a penny these days, weren't they?","Coincidences were a dime a dozen these days, weren't they?","Two a penny means very common or ordinary, and a dime a dozen is another idiom with a similar meaning.","Coincidences were very rare and not commonplace these days, weren't they?","Two a penny means very common or ordinary, but this context states that coincidences were very rare and not commonplace."
let the genie out of the bottle,She herself was the one who had let the genie out of the bottle.,She herself was the one who had created a huge impact that could not be stopped or reversed.,To let the genie out of the bottle means to create or unleash something that has a huge impact and cannot be stopped or reversed and that is what she did in this context.,She herself was the one who had not created any impact at all and everything was still manageable and within control.,"To let the genie out of the bottle means to create or unleash something that has a huge impact and cannot be stopped or reversed, but in this context she did not create any impact"
upset the apple cart,She would know not to upset the apple cart.,She would know not to muck up or ruin something.,"To upset the apple cart means to mess up or ruin something, and in this context she knows not to do that.",She would know not to keep things neat and tidy.,"To upset the apple cart means to mess up or ruin something, but in this context she knows to keep things neat and tidy instead"
go spare,"Uncle sven would go spare if he found out I spend my evenings drinking with negroes, but quite frankly I don't care.","Uncle Sven would become extremely angry if he found out I spend my evenings drinking with negroes, but quite frankly I don't care.","To go spare means to become very angry or irritated, so Uncle Sven would be very angry if he found out about the situation.","Uncle Sven would not even get slightly upset if he found out I spend my evenings drinking with negroes, but quite frankly I don't care.","To go spare means to become very angry or irritated, but Uncle Sven would not be angry if he found out about the situation"
vent your spleen,To vent your spleen about something for which only you can be blamed?,To express your anger about something for which only you can be blamed?,"To vent your spleen means to voice one's anger, so the entailment is to express anger about something for which only the speaker can be blamed.",To never express your anger about something for which only you can be blamed?,"To vent your spleen means to voice one's anger, but the contradiction is to never express anger about something for which only the speaker can be blamed."
stand the test of time,"Hopefully, my characters will stand the test of time.","Hopefully, my characters will be liked for a long time.",To stand the test of time means to be well regarded and last for a long time.,"Hopefully, my characters will be disliked for a long time.","To stand the test of time means to be well regarded and last for a long time, but in this context the characters are hopefully going to be disliked"
go halves,Anyone want to go halves?,Does anyone want to share the cost evenly?,To go halves means to share the cost evenly between two people.,Does anyone want to split the cost individually?,"To go halves means to share the cost evenly between two people, but this sentence asks if anyone wants to split the cost individually"
up the ante,"But each time nikolas had raised his hand to up the ante on the previous bid, berta had paled.","But each time nikolas had raised his hand to raise the stakes on the previous bid, berta had paled.","To up the ante means to increase the demands that you are making, and in this context Nikolas is increasing the stakes of the bid.","But each time nikolas had raised his hand to lower the stakes on the previous bid, berta had paled.","To up the ante means to increase the demands that you are making, but in this context Nikolas is decreasing the stakes of the bid"
last hurrah,I'm having one last hurrah before I head back to penn state.,I'm having one final act of achievement or effort before I head back to penn state.,"A last hurrah is a final act of achievement or effort, which is what the person in this context is having before they head back to school.",I'm having one first attempt at something before I head back to penn state.,"A last hurrah is a final act of achievement or effort, but this context describes a first attempt"
moment of truth,The moment of truth had come sooner than we could have realized.,The decisive moment had come sooner than we could have realized.,"The moment of truth is the moment at which some decisive event will occur, and in this context the decisive moment came sooner than expected.",The undecisive moment had come sooner than we could have realized.,"The moment of truth is the moment at which some decisive event will occur, but in this context the moment was undecisive"
on a shoestring,They had suddenly gone from comfortable to living on a shoestring and being behind on something as important as their mortgage.,They had suddenly gone from comfortable to living within a very tight financial budget and being behind on something as important as their mortgage.,"To be on a shoestring means to be on a very tight or limited financial budget, which is what they had suddenly gone from comfortable to.",They had suddenly gone from comfortable to living very lavishly and within a large financial budget and being behind on something as important as their mortgage.,"To be on a shoestring means to be on a very tight or limited financial budget, but in this context they were living very lavishly"
to the bone,"Happy whenever not hungry, frightened to the bone whenever a cold wind blows.","Happy whenever not hungry, extremely frightened whenever a cold wind blows.","To be to the bone is to be very much or to an extreme degree, so in this context the person is extremely frightened when a cold wind blows.","Unhappy whenever not hungry, not at all frightened whenever a cold wind blows.","To be to the bone is to be very much or to an extreme degree, but in this context the person is not at all frightened when a cold wind blows."
up against it,"Since his wife no longer permitted him to visit fay by himself, he and fay were up against it.","Since his wife no longer permitted him to visit fay by himself, he and fay were confronted with difficulties.","To be up against it means to have or be likely to face serious problems or stresses, which is what he and fay were confronted with.","Since his wife no longer permitted him to visit fay by himself, he and fay were not confronted with any difficulties.","To be up against it means to have or be likely to face serious problems or stresses, but in this context there were no difficulties"
take into account,What I have to do is examine the evidence they have provided and take into account your own assertions of your ability to parent.,What I have to do is examine the evidence they have provided and consider your own assertions of your ability to parent.,"To take into account means to think about or consider someone or something, and in this context the person is considering the assertions made about the ability to parent.",What I have to do is examine the evidence they have provided and not consider your own assertions of your ability to parent.,"To take into account means to think about or consider someone or something, but in this context the person is not considering the assertions made about the ability to parent."
take liberties,Nor was she about to allow a stranger to take liberties with her!,Nor was she about to allow a stranger to act disrespectfully or inappropriately towards her!,"To take liberties with someone means to act disrespectfully or inappropriately, which is exactly what she didn't want the stranger to do.",Nor was she about to allow a stranger to act respectfully and appropriately towards her!.,"To take liberties with someone means to act disrespectfully or inappropriately, but the context describes the opposite behavior"
on ice,"So I hauled him in, and quent put him on ice for questioning and processing.","So I hauled him in, and quent put him in detention for questioning and processing.","To be on ice means to be detained or confined in isolation, which is what quent did by putting him in detention.","So I hauled him in, and quent put him in a position to be very comfortable for questioning and processing.","To be on ice means to be detained or confined in isolation, but in this context quent put him in a position of comfort"
go dutch,"And one more thing, lets go dutch.","And one more thing, lets divide the check.","To go dutch means to divide a check or bill so that each person contributes to it, which is what they are suggesting in this sentence.","And one more thing, lets not divide the check.","To go dutch means to divide a check or bill so that each person contributes to it, but in this sentence they are suggesting not to divide the check."
nuts and bolts,"When it gets right down to the nuts and bolts of it, I'm flat-out lazy.","When it comes to the most essential and important part of it, I'm flat-out lazy.","To get down to the nuts and bolts of it means to get to the most essential part of it, and in this context the speaker is admitting that the most essential part of him is that he is lazy.","When it comes to the least essential and unimportant part of it, I'm flat-out lazy.","To get down to the nuts and bolts of it means to get to the most essential part of it, but in this context the speaker is admitting that when the least essential part of it comes he is lazy."
dead as a doornail,"Anyway, I woke up in front of the picture window strapped to a wheelchair, and the tech-young fella, maybe thirty-he's dead as a doornail.","Anyway, I woke up in front of the picture window strapped to a wheelchair, and the tech-young fella, maybe thirty-he's totally defunct.","Dead as a doornail means totally defunct, and in this sentence the tech-young fella is said to be totally defunct.","Anyway, I woke up in front of the picture window strapped to a wheelchair, and the tech-young fella, maybe thirty-he's alive and well.","Dead as a doornail means totally defunct, but in this sentence the tech-young fella is said to be alive and well"
smart alec,It's the first smart alec comment he's made about nate since the campout.,It's the first annoying and overconfident comment he's made about nate since the campout.,"A smart alec is someone who is annoying and overconfident, and in this context the person is making a smart alec comment about nate.",It's the first humble and self-deprecating comment he's made about nate since the campout.,"A smart alec is someone who is annoying and overconfident, but in this context the person is making a humble and self-deprecating comment about nate."
have a way with,"You do have a way with women, bishop.","You have a knack for dealing with women, bishop.","To have a way with someone or something means to have a special and effective way of dealing with them, which is what the bishop has.","You don't have a way of dealing with women, bishop.","To have a way with someone or something means to have a special and effective way of dealing with them, but the bishop doesn't have a way of dealing with women."
chicken feed,He mentioned that his inheritance made Jonathan/Elliott's look like chicken feed.,He mentioned that his inheritance made Jonathan/Elliott's look like a very small amount of money.,"Chicken feed is a small amount of money, so if something looks like chicken feed, it is insignificant compared to another person or thing.",He mentioned that his inheritance made Jonathan/Elliott's look like a very large amount of money.,"Chicken feed is a small amount of money, but this sentence describes the inheritance making Jonathan/Elliott's look like a very large amount of money."
throw down the gauntlet,"Oh, baby, we both know that if you throw down the gauntlet I 'll be only too happy to pick it up.","Oh, baby, we both know that if you challenge me I 'll be only too happy to pick it up.","To throw down the gauntlet means to issue a challenge, and in this context the speaker is saying that if the baby challenges them, they will be happy to accept.","Oh, baby, we both know that if you don't challenge me I 'll be only too happy to pick it up.","To throw down the gauntlet means to issue a challenge, but this context says that the speaker will be happy to accept even if there is no challenge issued."
at full tilt,"It seemed to take forever to return to the cricket field, but when they arrived, the battle was still going at full tilt.","It felt like forever to come back to the cricket field, but when they arrived, the battle was still going on at maximum speed","At full tilt means to go as fast as possible, so the battle still going at full tilt means it was still going at maximum speed.","It felt like forever to come back to the cricket field, but when they arrived, the battle was still going on very slowly at the minimum possible speed.","At full tilt means to go as fast as possible, but in this sentence the battle was going very slowly"
get in touch,Isn't there any way for you to get in touch with him?,Can't you establish communication with him in any way?,"To get in touch with someone means to establish communication with them, so the entailment is asking if the speaker can establish communication.",Can you please stop communicating with him in any way?,"To get in touch with someone means to establish communication with them, but the contradiction is asking the speaker to stop communicating."
get your hands dirty,"I know you said you didn't get your hands dirty, but I need a getaway driver.","I know you said you preferred not to do any hard work, but I need a getaway driver","To get your hands dirty means to do hard work, so in this sentence the speaker is asking for someone to do hard work.","I know you said you preferred not to do any easy work, but I need a getaway driver","To get your hands dirty means to do hard work, but this sentence talks about easy work."
lay eyes on,I felt scared about what I might lay eyes on each time we turned a corner.,I felt scared about what I might see each time we turned a corner.,"To lay eyes on something is to see it, and owing to that in this context she was scared of what she might see.",I felt scared about what I might not see each time we turned a corner.,"To lay eyes on something is to see it, but in this context she was scared of what she might not see"
chase rainbows,You can't always be chasing rainbows your whole life.,You can't be constantly pursuing things that are unrealistic or highly unlikely to happen throughout your life.,"Chasing rainbows means constantly pursuing things that are unrealistic or unlikely to happen, and the sentence is saying that you can't do this your whole life.",You can't be constantly pursuing things that are realistic or highly likely to happen throughout your life.,"Chasing rainbows means constantly pursuing things that are unrealistic or unlikely to happen, but the sentence is saying that you can pursue things that are realistic and likely to happen"
any port in a storm,"The moment calls, quite literally, for any port in a storm.",The situation is so dire that any solution no matter how unpleasant is acceptable.,"Any port in a storm means that any solution is acceptable in times of trouble, and the situation is dire enough that any solution is better than none.",The situation is not so dire that any solution no matter how unpleasant is acceptable.,"Any port in a storm means that any solution is acceptable in times of trouble, but the situation is not so dire that any solution is better than none."
the ayes have it,the ayes have it.,the majority has voted in favor.,The ayes have it means that the majority has voted in favor.,the minority has voted in favor.,"The ayes have it means that the majority has voted in favor, but in this context the minority has voted in favor"
have the audacity,She scans the faces before her and they have the audacity to look hopeful.,She scans the faces before her and they dare to look hopeful.,"To have the audacity means to be impudent, and in this context the people are being impudent by looking hopeful.",She scans the faces before her and they do not dare to look hopeful.,To have the audacity means to be impudent and daring to do something but in this context the people are not being daring to look hopeful.
back to square one,So were back to square one.,So we're back to the beginning.,"To be back to square one is to be back at the beginning, or the starting point.",So we're not back to the beginning.,"To be back to square one is to be back at the beginning, but this sentence suggests that they are not back at the beginning."
cross examine,The defense will have the opportunity to cross examine the witnesses.,The defense will have the opportunity to question the witnesses,To cross examine means to question someone aggressively or in great detail.,The defense will have the opportunity to support the witnesses.,"To cross examine means to question someone aggressively or in great detail, but in this sentence the defense is supporting the witnesses."
on a full stomach,"But I don't want to be fighting on a full stomach, so I might as well keep my muscles warm.","But I don't want to be fighting immediately after eating a lot, so I might as well keep my muscles warm.","To be on a full stomach means to have just eaten to the point of being full, and in this context the person does not want to fight immediately after eating.","But I don't want to be fighting without eating anything, so I might as well keep my muscles warm.","To be on a full stomach means to have just eaten to the point of being full, but in this context the person wants to fight without having eaten anything."
go round in circles,Synchronise your efforts or we 'll just go round in circles.,Work together or we'll just be wasting time and not getting anywhere.,"To go round in circles means to waste time and not make any progress, so working together is necessary to avoid this.",Do your own thing and we'll make great progress.,"To go round in circles means to waste time and not make any progress, but doing your own thing will lead to great progress."
sitting duck,"Staying here in this room made her feel like a sitting duck, begging to get shot at.","Staying here in this room made her feel like a target that was not moving and an easy prey, begging to get shot at.","A sitting duck is something that is unprotected and vulnerable to an easy attack, which is how she felt while staying in the room.","Staying here in this room made her feel like a indefensible that was hard to hit, absolutely immune.","A sitting duck is something that is unprotected and vulnerable to an easy attack, but this context describes her as hard to hit and indefensible."
when push comes to shove,"And when push comes to shove, I'm a predator.","And if things get really bad, I'm a predator.","To say when push comes to shove is to say that if things get really bad, and in this context the speaker is saying that if things get bad they will become a predator.","And if things get really good, I'm a predator.","To say when push comes to shove is to say that if things get really bad, but in this context the speaker is saying that if things get good they will become a predator."
let alone,"I wouldn't have believed myself capable of attracting anyone, let alone such a man.","I wouldn't have believed myself capable of attracting anyone, not to mention such a man.","The phrase let alone is used to emphasize that if other more significant or pressing things are not possible a lesser thing certainly is not or cannot either and in this context, the speaker is emphasizing that attracting anyone would not have been possible, let alone attracting a man.","I wouldn't have believed myself capable of attracting anyone, except for such a man.","The phrase let alone is used to emphasize that if other more significant or pressing things are not possible  a lesser thing certainly is not or cannot either but in this context, the speaker is emphasizing that attracting anyone would not have been possible, except attracting a man which is contradictory."
good samaritan,"Most of bobs skits are purposefully simple, but my skit the good samaritan is similar to something he'd write.","Most of bobs skits are purposefully simple, but my skit the selfless helper is similar to something he'd write.","A good samaritan is a person who helps others selflessly, and the speakers skit is based on a selfless helper.","Most of bobs skits are purposefully simple, but my skit the selfish jerk is similar to something he'd write.","A good samaritan is a person who helps others selflessly, but the speakers skit is based on a selfish jerk."
be a no brainer,That was a no brainer.,That was an extremely easy decision to make,"A no brainer is a very easy decision to make, so the entailment is that the decision was extremely easy to make.",That was a very difficult decision to make.,"A no brainer is a very easy decision to make, but the contradiction is that the decision was very difficult to make."
